PMNAME,PMUNIT,PMSARATE,PMPURATE,PMMRRATE,PM_GSTPER,PMGROUP
CLASS GEL,NOS,10,6.87,10,0,GENERAL
NOTE PAD 210,NOS,20,15,20,0,GENERAL
NOTE BOOK 238,NOS,35,26.22,35,0,GENERAL
MOSQUITO NET 5+6,OTHERS,85.5,0,90,0,GENERAL
POLLAX BALL PEN,NOS,45,33.74,45,0,GENERAL
NOTE BOOK GRAPH,NOS,35,26.25,35,0,GENERAL
OCTANE FOUN INK,NOS,50,39.5,50,0,GENERAL
NOTE BOOK MATHS,NOS,35,26.25,35,0,GENERAL
CLASS VICTOR GB,NOS,80,60,80,0,GENERAL
MECH PENCIL 0.7,NOS,15,11.2,15,0,GENERAL
OIL PASTELS,NOS,35,26.25,35,0,GENERAL
OCTAN FOUN INK PEN,NOS,40,30,40,0,GENERAL
PAMP LAR 2,NOS,28,23.49,28,0,GENERAL
WATER BOTTLE SMALL,NOS,25,12,25,0,GENERAL
MOSQUITO NET 6+6,OTHERS,95,0,100,0,GENERAL
AACHI RED CHILLI PASTE100G,NOS,30,24.46,30,0,GENERAL
AACHI GIN&GAR 5RS,NOS,5,3.49,5,0,GENERAL
AACHI GIN&GAR 10RS,NOS,10,6.99,10,0,GENERAL
GET OUT RAT KILLER,NOS,27,12,27,0,GENERAL
HEKAA SOUP150ML,NOS,80,64,80,0,GENERAL
HEKAA TEA 110ML,NOS,75,60,75,0,GENERAL
HEKAA GREEN TEA 110ML,NOS,109,87.2,109,0,GENERAL
MOOV SPRAY 50G,NOS,190,160.38,190,0,GENERAL
AMRU INHALER0.75G,NOS,45,27.9,45,0,GENERAL
MAT,OTHERS,133,0,140,0,GENERAL
MOSQUITO NET 4+6,OTHERS,76,0,80,0,GENERAL
DOVE 8.5ML,NOS,4,2.94,4,0,GENERAL
EVER CHI BRIYANI 50G,NOS,70,58.8,70,0,GENERAL
EVER MEAT MASALA50G,NOS,39,34.4,39,0,GENERAL
EVER CORIANDER 100G,NOS,32,26.88,32,0,GENERAL
EVER SAFFRON 0.5G,NOS,120,60,120,0,GENERAL
EVER HINGRAJ PWDR 50G,NOS,90,72,90,0,GENERAL
EVER SUP SAMBHAR 100G,NOS,47,39.5,47,0,GENERAL
EVER RASAM 100G,NOS,42,35.3,42,0,GENERAL
EVER MILK MAS10G,NOS,45,39.1,45,0,GENERAL
ACT POPCORN 99G,NOS,70,64.28,70,0,GENERAL
STRAWBERRY,OTHERS,19,40,20,0,GENERAL
CLOTH COVER 10*8,NOS,8,3.4,8,0,GENERAL
HIT RAT PAD25G,NOS,50,25,50,0,GENERAL
HIT RAT GLUE 50G,NOS,100,50,100,0,GENERAL
COLGATE VEDSHAKTI 200G,NOS,98,71.25,98,0,GENERAL
BRIANNIA CAKE 120G,NOS,30,25.5,30,0,GENERAL
SCOTCH WIPE 3*1,NOS,200,175.44,200,0,GENERAL
MAGGI SPECIAL 70G,NOS,15,13.76,15,0,GENERAL
DUKES JEERA BIS 150G,NOS,60,40,60,0,GENERAL
BLEAC POW KIR 100G,NOS,12,8.4,12,0,GENERAL
BLEA POWD KIRU 500G,NOS,45,31.49,45,0,GENERAL
THANIA 1 KG,OTHERS,57,0,60,0,GENERAL
RO MAX PEN,NOS,50,40,50,0,GENERAL
APS COLOR PENC.12,NOS,25,17.5,25,0,GENERAL
APS SNA DIS,NOS,5,4,5,0,GENERAL
